id_aluno,nome,cpf,data_nascimento,sexo,id_turma,codigo_segmento,segmento,serie,turno,status,ano_letivo
ALU00001,Helena Barbosa Gomes,000.001.007-00,2021-03-29,M,TURMA001,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00002,Valentina Souza Dias,000.002.014-00,2021-07-13,M,TURMA001,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00003,Valentina Barbosa Mendes,000.003.021-00,2020-01-21,M,TURMA001,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00004,Miguel Mendes Pereira,000.004.028-00,2022-12-21,M,TURMA001,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00005,Valentina Santos Nascimento,000.005.035-00,2021-07-20,F,TURMA001,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00006,Ana Pereira Santos,000.006.042-00,2021-07-19,M,TURMA001,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00007,Fernanda Silva Souza,000.007.049-00,2021-07-03,F,TURMA001,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00008,Carlos Lima Gomes,000.008.056-00,2022-09-10,M,TURMA001,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00009,Mariana Fernandes Pereira,000.009.063-00,2020-04-09,M,TURMA001,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00010,Ana Silva Carvalho,000.010.070-00,2022-03-02,F,TURMA001,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00011,Julia Costa Ramos,000.011.077-00,2020-06-28,F,TURMA001,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00012,Larissa Lima Moreira,000.012.084-00,2021-01-03,F,TURMA001,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00013,Bruno Moreira Dias,000.013.091-00,2021-11-19,M,TURMA001,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00014,Carlos Costa Gomes,000.014.098-00,2020-09-07,M,TURMA001,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00015,Sofia Fernandes Costa,000.015.105-00,2022-06-28,F,TURMA001,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00016,Camila Ramos Ramos,000.016.112-00,2022-10-10,M,TURMA001,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00017,Camila Carvalho Almeida,000.017.119-00,2020-08-27,M,TURMA001,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00018,Bruno Ramos Rocha,000.018.126-00,2022-08-19,M,TURMA001,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
